experiment,N,Q,B,static_build_ms,bst_build_ms,static_search_ms,bst_search_ms,static_found,bst_found
1,1000000,1000000,64,117.561,67.495,112.525,320.693,500043,500043
2,1000000,1000000,64,83.336,57.568,105.236,255.76,499132,499132
3,1000000,1000000,64,84.137,59.25,112.672,254.419,500010,500010
4,1000000,1000000,64,82.92,68.292,113.676,237.81,499270,499270
5,1000000,1000000,64,79.558,61.12,104.589,221.371,499529,499529
